"alphaCount","category","coverage","dataset","dateCoverage","dateCreated","delay","description","id","pyramidMultiplier","region","subcategory","themes","type","universe","userCount"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ai_news_scores"",""name"":""AI News Sentiment Scores""}","0.8998","2026-07-01","1","Per-stock daily maximum negative sentiment score from RavenPack press releases for EUR, model variant prv23, same-day (D0); scores normalized 0–1","negative_score_maximum_value_3","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ai_news_scores"",""name"":""AI News Sentiment Scores""}","0.8998","2026-07-01","1","Maximum negative sentiment score observed for ASI, variant prv22, D0 on the stock-day","negative_score_maximum_value_4","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ai_news_scores"",""name"":""AI News Sentiment Scores""}","0.8998","2026-07-01","1","Median negative sentiment score across events for a stock-day in USA (variant prv24, D0), scores in 0–1","negative_score_median_value","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ai_news_scores"",""name"":""AI News Sentiment Scores""}","0.8998","2026-07-01","1","Median negative sentiment score for ASI, variant prv2, D1 (per-stock daily; scores in [0,1])","negative_score_median_value_2","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ai_news_scores"",""name"":""AI News Sentiment Scores""}","0.8998","2026-07-01","1","Per-stock daily median of negative sentiment scores from RavenPack press releases for EUR, model variant prv23, same-day (D0); scores normalized 0–1","negative_score_median_value_3","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ai_news_scores"",""name"":""AI News Sentiment Scores""}","0.8998","2026-07-01","1","Median negative sentiment score for ASI, series variant prv22, D0; median of per-event negative scores for the stock-day (0–1 scale)","negative_score_median_value_4","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ai_news_scores"",""name"":""AI News Sentiment Scores""}","0.8998","2026-07-01","1","Median negative sentiment score for USA, series variant prv25, D0 (same-day) offset","negative_score_median_value_5","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ai_news_scores"",""name"":""AI News Sentiment Scores""}","0.8998","2026-07-01","1","Minimum negative sentiment score for a stock-day in USA (variant prv24, D0), scores in 0–1","negative_score_minimum_value","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ai_news_scores"",""name"":""AI News Sentiment Scores""}","0.8998","2026-07-01","1","Minimum negative sentiment score for ASI, variant prv2, D1 (per-stock daily; scores in [0,1])","negative_score_minimum_value_2","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
"0","{""id"":""other"",""name"":""Other""}","0","{""id"":""ai_news_scores"",""name"":""AI News Sentiment Scores""}","0.8998","2026-07-01","1","Per-stock daily minimum negative sentiment score from RavenPack press releases for EUR, model variant prv23, same-day (D0); scores normalized 0–1","negative_score_minimum_value_3","2","DEU","{""id"":""other-aiml-data"",""name"":""AI/ML Data""}","[]","MATRIX","TOP500","0"
